"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Longoria, Evan",446334,2023,37,0.422,0.199,0.277
"Dub?n, Mauricio",643289,2023,28,0.411,0.133,0.308
"Naylor, Bo",666310,2023,23,0.47,0.233,0.267
"Votto, Joey",458015,2023,39,0.433,0.231,0.212
"Smith, Pavin",656976,2023,27,0.325,0.137,0.209
"Henderson, Gunnar",683002,2023,22,0.489,0.234,0.306
"Vientos, Mark",668901,2023,23,0.367,0.156,0.264
"Hedges, Austin",595978,2023,30,0.227,0.043,0.236
"Castro, Rodolfo",666801,2023,24,0.322,0.111,0.284
"Westburg, Jordan",676059,2023,24,0.404,0.144,0.336
"Davis, Henry",680779,2023,23,0.351,0.138,0.273
"Rosario, Amed",642708,2023,27,0.378,0.115,0.314
"Short, Zack",670097,2023,28,0.339,0.135,0.255
"Hampson, Garrett",641658,2023,28,0.38,0.104,0.379
"Wisdom, Patrick",621550,2023,31,0.5,0.295,0.237
"Mancini III, Trey",641820,2023,31,0.336,0.102,0.327
"Bell, Josh",605137,2023,30,0.419,0.172,0.287
"Lewis, Royce",668904,2023,24,0.548,0.239,0.354
"Knizner, Andrew",668800,2023,28,0.424,0.183,0.288
"Alonso, Pete",624413,2023,28,0.504,0.287,0.205
"Bellinger, Cody",641355,2023,27,0.525,0.218,0.319
"Fermin, Freddy",666023,2023,28,0.461,0.18,0.323
"O'Neill, Tyler",641933,2023,28,0.403,0.172,0.284
"Carlson, Dylan",666185,2023,24,0.333,0.114,0.256
"Higashioka, Kyle",543309,2023,33,0.413,0.177,0.292
"Montero, Elehuris",660707,2023,24,0.426,0.183,0.352
"Happ, Ian",664023,2023,28,0.431,0.183,0.299
"D?az, Yandy",650490,2023,31,0.522,0.192,0.367
"Stallings, Jacob",607732,2023,33,0.286,0.095,0.249
"Goldschmidt, Paul",502671,2023,35,0.447,0.179,0.327
"Thaiss, Matt",642136,2023,28,0.34,0.126,0.272
"Tatis Jr., Fernando",665487,2023,24,0.449,0.192,0.299
"Vaughn, Andrew",683734,2023,25,0.429,0.171,0.299
"Benson, Will",666181,2023,25,0.498,0.223,0.391
"Reynolds, Bryan",668804,2023,28,0.46,0.197,0.304
"Santander, Anthony",623993,2023,28,0.472,0.215,0.299
"Gelof, Zack",680869,2023,23,0.504,0.237,0.331
"Soto, Juan",665742,2023,24,0.519,0.244,0.296
"Lopez, Nicky",670032,2023,28,0.307,0.076,0.276
"Vogelbach, Daniel",596129,2023,30,0.404,0.171,0.282
"Palacios, Joshua",641943,2023,27,0.413,0.174,0.269
"Carroll, Corbin",682998,2023,22,0.506,0.221,0.325
"Pe?a, Jeremy",665161,2023,25,0.381,0.118,0.323
"Abrams, CJ",682928,2023,22,0.412,0.167,0.279
"Gim?nez, Andr?s",665926,2023,24,0.399,0.148,0.289
