"last_name, first_name",id,year,player_age,slg_percent,isolated_power,babip
"Crawford, J.P.",641487,2023,28,0.438,0.172,0.314
"Caratini, Victor",605170,2023,29,0.383,0.124,0.296
"Trejo, Alan",676701,2023,27,0.343,0.111,0.286
"Abreu, Jos?",547989,2023,36,0.383,0.146,0.276
"Contreras, William",661388,2023,25,0.457,0.168,0.348
"Tovar, Ezequiel",678662,2023,21,0.408,0.155,0.328
"Hern?ndez, Teoscar",606192,2023,30,0.435,0.177,0.342
"Kim, Ha-Seong",673490,2023,27,0.398,0.138,0.306
"Caballero, Jos?",676609,2023,26,0.32,0.099,0.285
"Marcano, Tucupita",672779,2023,23,0.356,0.123,0.265
"Pratto, Nick",668472,2023,24,0.353,0.121,0.388
"Wong, Kolten",543939,2023,32,0.263,0.08,0.218
"S?nchez, Gary",596142,2023,30,0.492,0.275,0.212
"Taylor, Tyrone",621438,2023,29,0.446,0.212,0.263
"Col?s, Oscar",693049,2023,24,0.314,0.098,0.281
"Maton, Nick",665155,2023,26,0.305,0.132,0.206
"Urshela, Gio",570482,2023,31,0.374,0.075,0.346
"Smith, Dominic",642086,2023,28,0.366,0.112,0.286
"Torkelson, Spencer",679529,2023,23,0.446,0.213,0.269
"Machado, Manny",592518,2023,30,0.462,0.204,0.268
"De La Cruz, Bryan",650559,2023,26,0.411,0.154,0.307
"Bleday, JJ",668709,2023,25,0.355,0.16,0.226
"Olson, Matt",621566,2023,29,0.604,0.321,0.302
"Steer, Spencer",668715,2023,25,0.464,0.193,0.318
"Castellanos, Nick",592206,2023,31,0.476,0.204,0.337
"Schmitt, Casey",669477,2023,24,0.324,0.118,0.253
"Santana, Carlos",467793,2023,37,0.429,0.189,0.255
"Gurriel Jr., Lourdes",666971,2023,29,0.463,0.202,0.282
"Cron, C.J.",543068,2023,33,0.434,0.186,0.284
"Castro, Harold",605612,2023,29,0.314,0.062,0.332
"Haase, Eric",606992,2023,30,0.281,0.08,0.268
"Nimmo, Brandon",607043,2023,30,0.466,0.192,0.324
"Turner, Justin",457759,2023,38,0.455,0.179,0.304
"Jeffers, Ryan",680777,2023,26,0.49,0.214,0.359
"Vargas, Miguel",678246,2023,23,0.367,0.172,0.224
"Hicks, Aaron",543305,2023,33,0.383,0.13,0.311
"Pasquantino, Vinnie",686469,2023,25,0.437,0.19,0.25
"Verdugo, Alex",657077,2023,27,0.421,0.157,0.294
"Arias, Gabriel",672356,2023,23,0.352,0.142,0.29
"Thomas, Lane",657041,2023,27,0.468,0.2,0.325
"Diaz, Jordan",672478,2023,22,0.364,0.143,0.258
"Jansen, Danny",643376,2023,28,0.474,0.246,0.233
"Jankowski, Travis",608671,2023,32,0.332,0.069,0.311
"Sosa, Edmundo",624641,2023,27,0.427,0.176,0.306
"Ruiz, Keibert",660688,2023,24,0.409,0.149,0.263
"Walls, Taylor",670764,2023,26,0.333,0.132,0.261
"Siri, Jose",642350,2023,27,0.494,0.272,0.269
"Escobar, Eduardo",500871,2023,34,0.344,0.118,0.286
"Anderson, Brian",605119,2023,30,0.368,0.142,0.309
"Garver, Mitch",641598,2023,32,0.5,0.23,0.313
"Julien, Edouard",666397,2023,24,0.459,0.196,0.371
"Duvall, Adam",594807,2023,34,0.531,0.284,0.299
"McCarthy, Jake",664983,2023,25,0.326,0.083,0.305
"Riley, Austin",663586,2023,26,0.516,0.235,0.324
"Benintendi, Andrew",643217,2023,28,0.356,0.094,0.301
"Meyers, Jake",676694,2023,27,0.382,0.155,0.283
"Baddoo, Akil",668731,2023,24,0.372,0.154,0.268
"Betts, Mookie",605141,2023,30,0.579,0.272,0.316
"Moncada, Yo?n",660162,2023,28,0.425,0.165,0.35
"Senzel, Nick",669222,2023,28,0.399,0.163,0.269
"Bailey, Patrick",672275,2023,24,0.359,0.126,0.314
"Cabrera, Oswaldo",665828,2023,24,0.299,0.088,0.26
"Yastrzemski, Mike",573262,2023,32,0.445,0.212,0.286
"Isbel, Kyle",664728,2023,26,0.38,0.14,0.283
"Turner, Trea",607208,2023,30,0.459,0.193,0.31
"Maldonado, Mart?n",455117,2023,36,0.348,0.157,0.26
"Springer III, George",543807,2023,33,0.405,0.147,0.291
"Wendle, Joey",621563,2023,33,0.306,0.094,0.264
"Rutschman, Adley",668939,2023,25,0.435,0.158,0.303
"Noda, Ryan",676116,2023,27,0.406,0.177,0.347
"Rojas, Josh",668942,2023,29,0.338,0.093,0.313
"Fortes, Nick",663743,2023,26,0.299,0.095,0.234
"Jones, Nolan",666134,2023,25,0.542,0.245,0.401
"Kelenic, Jarred",672284,2023,23,0.419,0.166,0.359
"Duran, Jarren",680776,2023,26,0.482,0.187,0.381
"Mateo, Jorge",622761,2023,28,0.34,0.123,0.267
"Vargas, Ildemaro",545121,2023,31,0.363,0.111,0.259
"De La Cruz, Elly",682829,2023,21,0.41,0.175,0.336
"Bae, Ji Hwan",678225,2023,23,0.311,0.08,0.31
"McLain, Matt",680574,2023,23,0.507,0.217,0.385
"Guerrero Jr., Vladimir",665489,2023,24,0.444,0.18,0.277
"Wiemer Jr., Joey",686894,2023,24,0.362,0.158,0.258
"Doyle, Brenton",686668,2023,25,0.343,0.14,0.295
"D?az, Aledmys",649557,2023,32,0.337,0.108,0.273
"Tauchman, Mike",643565,2023,32,0.377,0.125,0.313
"Segura, Jean",516416,2023,33,0.279,0.06,0.251
